Customer Question,Modified Response,Suggested Response,index 1,flag
How many trikes do you have?,"We currently have three models of trikes available: Bison Pro, Bison S, and Caddy Pro. Good"," We currently have three models of trikes available: Bison Pro, Bison S, and Caddy Pro.",,
How many trikes do you have?,"We currently have three models of trikes available: Bison Pro, Bison S, and Caddy Pro. Good"," We currently have three models of trikes available: Bison Pro, Bison S, and Caddy Pro.",,
Ist it possible to book a party fór my child Birthday in you Restaurant?,," Unfortunately, we do not offer party bookings at our restaurant. However, we do offer catering services for special events. Please visit our website for more information about our catering services.",,
How many trikes do you have,,
How many trikes do you have,We have three,
How many trikes do you have," We have four models of trikes: Caddy Pro, Caddy, Bison S, and Bison Pro."," We have three models of trikes: Caddy Pro, Bison S, and Bison Pro.",,
how to get gold, NOT RELATED., NOT RELATED.,,
How do I load and unload my track it weighs 80 pounds," Our trike can be conveniently positioned horizontally in a van. To optimize the fit, simply rotate the handlebar 90 degrees. We provide a custom-designed hitch rack specifically tailored for our tricycles, available for purchase to enhance your transportation experience. The dimension of hitch rack: the diameter is 2in. Btw you can pull the front wheel up to rack , after then you pull the rear wheel up to rack. You can search  the YouTube "," Our trike can be conveniently positioned horizontally in a van. To optimize the fit, simply rotate the handlebar 90 degrees. We provide a custom-designed hitch rack specifically tailored for our tricycles, available for purchase to enhance your transportation experience. The dimension of hitch rack: the diameter is 2in."," Our trike can be conveniently positioned horizontally in a van. To optimize the fit, simply rotate the handlebar 90 degrees. We provide a custom-designed hitch rack specifically tailored for our tricycles, available for purchase to enhance your transportation experience. The dimension of hitch rack: the diameter is 2in. Btw you can pull the front wheel up to rack , after then you pull the rear wheel up to rack. You can search  the YouTube ",
I need to replace the right rear hydraulic disc brake caliper on my Emojo Caddy Pro electric trike. It came with a Zoom brand. What is the specific Zoom model number for a new replacement caliper?,"Please make sure you need to replace the caliper or brake pads ? Because you have to replace whole rear brake system if caliper issue, but pads are easy and simple . ", The Zoom brand caliper for the Emojo Caddy Pro electric trike is the ZOOM DB-3.,"Please make sure you need to replace the caliper or brake pads ? Because you have to replace whole rear brake system if caliper issue, but pads are easy and simple . ",
Can the handlebars on the folding Bison S be folded down ? If so what would be ground height to handlebars then be ?," Yes, the handlebars on the folding Bison S can be folded down. The ground height to handlebars is 36in"," Yes, the handlebars on the folding Bison S can be folded down. The ground height to handlebars is 14.5in."," Yes, the handlebars on the folding Bison S can be folded down. The ground height to handlebars is 36in",
